date,channel,impressions,clicks,orders,revenue,spend
2024-01-01,Blinkit,52000,1820,182,54600,9100
2024-01-01,Zepto,38000,1140,91,27300,5700
2024-01-01,Meta,210000,4200,168,50400,8400
2024-01-01,Google,95000,2850,143,42900,7150
2024-01-08,Blinkit,55100,1980,198,59400,9800
2024-01-08,Zepto,40200,1230,101,30300,6100
2024-01-08,Meta,218000,4450,182,54600,9000
2024-01-08,Google,99000,3020,157,47100,7600
2024-01-15,Blinkit,58400,2100,214,64200,10400
2024-01-15,Zepto,42500,1310,112,33600,6500
2024-01-15,Meta,228000,4680,194,58200,9600
2024-01-15,Google,104000,3180,168,50400,8100
2024-01-22,Blinkit,61200,2230,228,68400,11000
2024-01-22,Zepto,44800,1390,121,36300,6900
2024-01-22,Meta,238000,4880,207,62100,10200
2024-01-22,Google,109000,3340,179,53700,8700
2024-01-29,Blinkit,59800,2160,218,65400,10600
2024-01-29,Zepto,43600,1350,115,34500,6700
2024-01-29,Meta,233000,4760,199,59700,9900
2024-01-29,Google,106000,3240,172,51600,8400
2024-02-05,Blinkit,68400,2520,268,80400,12400
2024-02-05,Zepto,50200,1580,141,42300,7800
2024-02-05,Meta,268000,5620,238,71400,11600
2024-02-05,Google,121000,3820,204,61200,9800
2024-02-12,Blinkit,78200,2960,321,96300,14600
2024-02-12,Zepto,57400,1870,172,51600,9200
2024-02-12,Meta,298000,6420,278,83400,13400
2024-02-12,Google,138000,4420,238,71400,11400
2024-02-19,Blinkit,65800,2380,247,74100,11800
2024-02-19,Zepto,48400,1490,131,39300,7400
2024-02-19,Meta,252000,5180,214,64200,10600
2024-02-19,Google,114000,3580,188,56400,9100
2024-02-26,Blinkit,67200,2440,254,76200,12100
2024-02-26,Zepto,49600,1540,138,41400,7600
2024-02-26,Meta,258000,5340,221,66300,10900
2024-02-26,Google,117000,3680,194,58200,9300
2024-03-04,Blinkit,70100,2560,268,80400,12700
2024-03-04,Zepto,51800,1620,146,43800,8000
2024-03-04,Meta,270000,5620,234,70200,11400
2024-03-04,Google,122000,3860,204,61200,9700
2024-03-11,Blinkit,73600,2720,284,85200,13400
2024-03-11,Zepto,54200,1710,156,46800,8400
2024-03-11,Meta,284000,5940,248,74400,12000
2024-03-11,Google,128000,4060,218,65400,10200
2024-03-18,Blinkit,77400,2880,301,90300,14100
2024-03-18,Zepto,56800,1810,164,49200,8800
2024-03-18,Meta,298000,6240,263,78900,12600
2024-03-18,Google,134000,4260,231,69300,10700
